"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Odell Beckham Jr.",9200,"Car@NYG 01:00PM ET",24.100,"NYG"
"WR","Antonio Brown",8700,"Den@Pit 04:25PM ET",24.192,"Pit"
"WR","Julio Jones",8500,"Atl@Jax 01:00PM ET",23.892,"Atl"
"WR","DeAndre Hopkins",8500,"Hou@Ind 01:00PM ET",22.162,"Hou"
"WR","A.J. Green",7900,"Cin@SF 04:25PM ET",19.377,"Cin"
"QB","Tom Brady",7800,"Ten@NE 01:00PM ET",26.048,"NE"
"QB","Cam Newton",7800,"Car@NYG 01:00PM ET",24.498,"Car"
"TE","Rob Gronkowski",7700,"Ten@NE 01:00PM ET",19.817,"NE"
"WR","Allen Robinson",7600,"Atl@Jax 01:00PM ET",19.877,"Jax"
"RB","Devonta Freeman",7500,"Atl@Jax 01:00PM ET",22.742,"Atl"
"QB","Aaron Rodgers",7400,"GB@Oak 04:05PM ET",21.954,"GB"
"WR","Julian Edelman",7400,"Ten@NE 01:00PM ET",19.611,"NE"
"WR","Larry Fitzgerald",7300,"Ari@Phi 08:30PM ET",19.523,"Ari"
"WR","Alshon Jeffery",7300,"Chi@Min 01:00PM ET",20.338,"Chi"
"RB","Adrian Peterson",7100,"Chi@Min 01:00PM ET",18.669,"Min"
"QB","Carson Palmer",7000,"Ari@Phi 08:30PM ET",23.732,"Ari"
"QB","Russell Wilson",7000,"Cle@Sea 04:05PM ET",21.628,"Sea"
"TE","Greg Olsen",6900,"Car@NYG 01:00PM ET",15.838,"Car"
"WR","Demaryius Thomas",6800,"Den@Pit 04:25PM ET",16.900,"Den"
"RB","DeAngelo Williams",6600,"Den@Pit 04:25PM ET",14.569,"Pit"
"RB","Matt Forte",6500,"Chi@Min 01:00PM ET",16.560,"Chi"
"RB","Marshawn Lynch",6500,"Cle@Sea 04:05PM ET",12.243,"Sea"
"QB","Andrew Luck",6500,"Hou@Ind 01:00PM ET",21.406,"Ind"
"RB","Thomas Rawls",6500,"Cle@Sea 04:05PM ET",10.815,"Sea"
"QB","Ben Roethlisberger",6400,"Den@Pit 04:25PM ET",22.773,"Pit"
"QB","Andy Dalton",6400,"Cin@SF 04:25PM ET",20.400,"Cin"
"RB","LeSean McCoy",6300,"Buf@Was 01:00PM ET",16.818,"Buf"
"WR","Randall Cobb",6300,"GB@Oak 04:05PM ET",14.338,"GB"
"RB","Lamar Miller",6300,"Mia@SD 04:25PM ET",16.346,"Mia"
"WR","Jarvis Landry",6300,"Mia@SD 04:25PM ET",18.158,"Mia"
"WR","Sammy Watkins",6200,"Buf@Was 01:00PM ET",16.170,"Buf"
"QB","Blake Bortles",6100,"Atl@Jax 01:00PM ET",22.389,"Jax"
"RB","Jonathan Stewart",6000,"Car@NYG 01:00PM ET",13.138,"Car"
"WR","Amari Cooper",6000,"GB@Oak 04:05PM ET",14.515,"Oak"
"WR","T.Y. Hilton",5900,"Hou@Ind 01:00PM ET",14.823,"Ind"
"TE","Jordan Reed",5900,"Buf@Was 01:00PM ET",16.309,"Was"
"QB","Peyton Manning",5800,"Den@Pit 04:25PM ET",12.422,"Den"
